execution,grade,current_time,student_signature_class,issuer_signature_class,decision_trace_id,transition_sequence,final_classification,final_outcome,enabled_bindings_at_end,active_unfinished,retained_references,violated_properties
inter_issuer_deny_phase0,80,0,valid,invalid,inter_issuer_deny_phase0,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
inter_issuer_deny_phase1,80,0,valid,invalid,inter_issuer_deny_phase1,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
inter_issuer_deny_phase2,80,0,valid,invalid,inter_issuer_deny_phase2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_DenyInvalidIssuerSignature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,0,0,11/11,
inter_D_E_accept,80,0,valid,valid,inter_D_E_accept,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_GenerateVP;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_D_reject,80,0,valid,valid,inter_D_reject,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_RejectCredential,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,0,0,11/11,
inter_G_student_denial,80,0,invalid,valid,inter_G_student_denial,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_DenyInvalidSignature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,0,0,11/11,
inter_G_cancel_instead_of_student_denial,80,0,invalid,valid,inter_G_cancel_instead_of_student_denial,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
inter_F_expiry_excludes_accept,80,100,valid,valid,inter_F_expiry_excludes_accept,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
inter_I_ledger_reject,80,0,valid,valid,inter_I_ledger_reject,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Reject,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED,0,0,11/11,
inter_VP_wallet_g0_s0,80,0,valid,valid,inter_VP_wallet_g0_s0,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s1,80,0,valid,valid,inter_VP_wallet_g0_s1,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;WalletNet.t_ShareVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s2,80,0,valid,valid,inter_VP_wallet_g0_s2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s3,80,0,valid,valid,inter_VP_wallet_g0_s3,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_ShareVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s4,80,0,valid,valid,inter_VP_wallet_g0_s4,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_ShareVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s5,80,0,valid,valid,inter_VP_wallet_g0_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s6,80,0,valid,valid,inter_VP_wallet_g0_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g0_s7,80,0,valid,valid,inter_VP_wallet_g0_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;WalletNet.t_GenerateVP;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s1,80,0,valid,valid,inter_VP_wallet_g1_s1,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s2,80,0,valid,valid,inter_VP_wallet_g1_s2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s3,80,0,valid,valid,inter_VP_wallet_g1_s3,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_ShareVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s4,80,0,valid,valid,inter_VP_wallet_g1_s4,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_ShareVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s5,80,0,valid,valid,inter_VP_wallet_g1_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s6,80,0,valid,valid,inter_VP_wallet_g1_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g1_s7,80,0,valid,valid,inter_VP_wallet_g1_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;WalletNet.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
